rainfall_24h,water_level_m,drainage_percent,risk_label
218.99949329699112,7.415552031175952,65,2
55.35359867961347,8.811018750963168,100,1
103.99190831096584,4.63179875379001,65,2
198.98419105734547,2.891787316734076,65,1
144.626803357344,3.188465743554615,65,0
221.57131159046816,6.969482583643939,100,2
288.362370366858,5.675580339914962,100,2
34.96400631455925,4.864941309772571,100,2
212.8703149194183,2.0277407877617404,100,1
69.10324668963436,8.754556874989033,100,1
124.34301822227076,7.810204475074061,65,2
9.858817738541948,1.406386017392296,65,2
40.77221468780968,3.6738845460213674,65,1
95.9331867146699,5.421320936388914,100,1
102.59574158639548,4.54338622771532,65,1
269.8755649386287,3.977958387377384,65,2
222.5438727799545,7.188318975605293,100,1
291.6548904561123,0.5450350423783745,100,2
179.72145310057215,4.714103391259419,100,2
72.51411962739539,2.621816903896014,100,0
98.29650897649286,0.8461838523475895,100,2
95.95077698759012,4.648871580029655,100,0
97.94829829897547,1.7136869107056871,65,0
201.8892519335447,2.5822428189020865,65,1
159.24237842712486,5.070087295100759,65,1
115.62725342599327,9.737089799328215,100,2
44.72693061861498,6.842550068035559,65,0
6.641748882643772,2.7962179815682475,65,1
65.65040327630778,3.824060525753765,65,0
32.24142119060438,4.061331523209772,65,2
235.6335092556718,1.5363762334437714,100,2
33.74938734416561,1.6065418885968077,100,2
217.26847119205084,1.4839472348736449,65,1
115.6976069328248,5.216641377369169,65,2
22.01351692313279,6.741860867397083,65,2
243.8190148294757,5.9072068461082665,100,1
173.889171070984,9.777671854533486,100,2
70.72845385907192,1.2587457225765186,100,2
268.4043522998004,9.864744063027551,100,2
13.577494161165438,4.666739338878919,65,0
60.54588245932887,2.186327877771377,100,2
225.6140783417583,9.432808260057572,65,1
212.8133790929668,4.686133101445926,100,1
86.7815081173434,3.473469552105204,65,1
18.607462605834936,2.138101038179566,100,0
257.4234216674831,2.6787545111580213,100,1
94.10929142097078,9.792195102272194,65,1
58.714024478479566,3.0397343990477435,100,2
154.81854670829313,9.77805923759605,100,1
