rainfall_72h,slope_degrees,soil_moisture_percent,risk_label
260.1383811,59.78333192,14.3732154,2
510.2955469,15.15308414,26.6484492,1
297.7302658,13.13538426,12.942605700000001,0
231.64061,10.67473411,24.0198166,0
330.2782491,48.83926893,34.5723604,2
202.5405773,54.82117331,47.8377013,2
35.38021616,6.06307551,32.998575200000005,0
142.3158542,12.44329219,48.8978417,1
364.1998156,17.05540178,49.590438199999994,1
431.3470882,50.1481523,16.5302975,2
48.749749,7.412904402,28.002894499999996,0
220.5370951,17.70945118,27.2973392,0
263.083504,62.61598072,19.8596729,2
161.8568,75.63245655,34.7318748,2
268.6042073,77.27816193,34.0150758,2
560.4140287,8.414488037,23.5641189,1
231.4049262,16.16628881,40.3010923,1
335.6907827,15.91446707,19.765204699999998,0
274.0082736,63.92531319,39.098636,2
363.2571955,8.240471606,11.773011499999999,0
534.4545005,10.79431558,39.1651426,1
12.11433546,53.82030188,18.9484933,2
94.60398725,77.3850693,12.1252025,2
203.7881161,18.91687219,32.900128099999996,0
339.9197794,55.03025514,45.0698242,2
533.8923908,9.228943276,36.5368162,1
574.8242545,9.001918242,36.859439,1
579.2137722,7.247941983,40.2051442,1
141.6828837,9.183078894,42.3507338,1
325.276229,70.94176739,26.9110255,2
199.498253,73.47064441,49.1970432,2
526.8195101,16.16074177,38.814476799999994,1
298.8788731,46.77038097,48.319168000000005,2
477.3453287,9.725124128,25.5654587,1
563.7004499,50.37490134,48.8674194,2
539.07595,58.30396523,32.6980203,2
51.47218824,41.27039155,24.8115054,2
452.9651818,19.48655666,13.3325343,1
378.2231936,15.79939309,13.1878098,0
463.8725951,10.50760722,27.8011363,1
230.3811708,9.050876992,27.928916799999996,0
322.0690252,5.954021546,29.7865417,0
376.8762517,66.35586822,36.7320444,2
523.1844383,56.15068362,23.6083455,2
127.8066114,72.02848237,24.2554628,2
184.6071394,49.69219979,22.6223699,2
174.5524503,51.80280907,47.429116799999996,2
143.065537,63.13729752,40.034897400000006,2
382.6223145,14.69070416,13.398322700000001,0
347.9671047,5.013587529,33.043334200000004,0
235.8576659,14.49015552,18.6845965,0
547.5725059,56.01815235,25.464771400000004,2
482.837156,16.74401259,12.987220599999999,1
345.6962466,51.65044158,40.375347700000006,2
147.8670838,18.46932824,19.030362,0
85.96735674,15.00063283,37.2519846,0
65.40479172,42.6795837,31.165346900000003,2
545.8121658,12.38550573,33.8228188,1
178.4082966,53.53305081,11.2819377,2
421.2606513,10.19399076,35.8637317,1
337.0274318,16.40696909,44.445194,1
135.6942921,68.82737001,29.678220500000002,2
232.2217728,53.96929164,12.043272100000001,2
219.7276791,77.53141661,24.642189300000002,2
438.4652167,10.20438426,44.1331212,1
